DiseaseId,Disease_name
EFO_0000255,Angioimmunoblastic T-Cell Lymphoma
MONDO_0019471,Adult T-Cell Leukemia/Lymphoma
MONDO_0019180,Hereditary Hemorrhagic Telangiectasia
EFO_1000042,Ovarian Clear Cell Adenocarcinoma
EFO_0005046,Cutaneous Leishmaniasis
EFO_0002614,Insulin Resistance
EFO_0004230,Endometrial Neoplasm
EFO_0003964,Hip Fracture
EFO_0004278,Sudden Cardiac Arrest
EFO_1001231,Uveitis
EFO_0009709,Metastatic Neoplasm
HP_0003326,Myalgia
EFO_0000319,Cardiovascular Disease
MONDO_0005149,Pulmonary Hypertension
EFO_1001459,Diabetic Foot
EFO_1001471,Merkel Cell Skin Cancer
MONDO_0021187,Hyperlipidemia
MONDO_0011705,Lymphangioleiomyomatosis
EFO_1001947,Childhood T Acute Lymphoblastic Leukemia
EFO_0003882,Osteoporosis
EFO_0007149,Appendicitis
MONDO_0019297,Lymphedema
EFO_0000512,Reproductive System Disease
MONDO_0008867,Biliary Atresia
EFO_0000660,Polycystic Ovary Syndrome
MONDO_0044937,Rectal Carcinoma
EFO_0004244,Interstitial Lung Disease
HP_0004419,Recurrent Thrombophlebitis
HP_0003394,Muscle Spasm
EFO_0003956,Seasonal Allergic Rhinitis
EFO_0003015,Aggressive Behavior
EFO_0004256,Neuromyelitis Optica
EFO_0000398,Dermatomyositis
EFO_1000613,Uterine Carcinosarcoma
MONDO_0019338,Sarcoidosis
EFO_1001998,Complex Regional Pain Syndrome
EFO_0008533,Dyspepsia
HP_0003124,Hypercholesterolemia
HP_0001268,Mental Deterioration
EFO_0007183,Bronchiolitis Obliterans
HP_0001643,Patent Ductus Arteriosus
EFO_0000701,Skin Disease
HP_0001397,Hepatic Steatosis
EFO_0003966,Eye Disease
EFO_0004216,Conduct Disorder
MONDO_0005299,Brain Ischemia
MONDO_0004565,Intestinal Obstruction
EFO_0000731,Uterine Fibroid
EFO_1001931,Oropharynx Cancer
EFO_0000713,Subarachnoid Hemorrhage
HP_0006536,Airway Obstruction
EFO_0004262,Panic Disorder
EFO_0600064,Serum Lipopolysaccharide Activity
EFO_0003872,Colitis
MONDO_0002258,Pharyngitis
EFO_0001416,Cervical Adenocarcinoma
EFO_0002609,Juvenile Idiopathic Arthritis
EFO_1001345,"Hepatitis, Alcoholic"
EFO_0003865,Kidney Neoplasm
EFO_1000941,Frozen Shoulder
